Região;Unidades da Federação;Unidade;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Amazonas;(milhões de m3); 4.335,8 ; 4.445,6 ; 4.390,8 ; 3.842,6 ; 3.731,3 ; 3.881,0 ; 3.294,7 ; 3.561,1 ; 3.409,0 ; 3.445,5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Amazonas;(milhões de m3); 368,0 ; 614,6 ; 715,4 ; 913,9 ; 1.484,7 ; 1.690,0 ; 1.662,5 ; 1.396,0 ; 1.658,6 ; 1.768,2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Amazonas;(milhões de m3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Maranhão;(milhões de m3); -   ; -   ; -   ; -   ; -   ; -   ; 0,1 ; 0,1 ; 0,0 ; 0,1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Maranhão;(milhões de m3); 1.968,4 ; 1.565,3 ; 1.926,3 ; 1.617,2 ; 1.410,9 ; 1.395,0 ; 1.350,3 ; 2.141,1 ; 927,7 ; 844,4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Maranhão;(milhões de m3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ceará;(milhões de m3); 32,8 ; 27,5 ; 37,4 ; 30,4 ; 35,6 ; 28,0 ; 6,2 ; 0,3 ; 0,3 ; 0,3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ceará;(milhões de m3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rio Grande do Norte;(milhões de m3); 391,5 ; 357,3 ; 316,3 ; 304,6 ; 280,8 ; 277,0 ; 205,1 ; 223,2 ; 320,6 ; 353,8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rio Grande do Norte;(milhões de m3); 98,4 ; 69,4 ; 72,5 ; 94,9 ; 70,6 ; 58,0 ; 39,9 ; 21,7 ; 16,4 ; 29,7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rio Grande do Norte;(milhões de m3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Alagoas;(milhões de m3); 135,9 ; 146,4 ; 126,9 ; 87,6 ; 82,8 ; 71,0 ; 78,1 ; 57,3 ; 124,7 ; 131,4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Alagoas;(milhões de m3); 399,4 ; 281,0 ; 291,3 ; 304,1 ; 324,7 ; 243,0 ; 231,4 ; 144,5 ; 149,2 ; 305,2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Alagoas;(milhões de m3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sergipe;(milhões de m3); 956,6 ; 763,6 ; 860,7 ; 730,1 ; 726,4 ; 587,0 ; 155,0 ; 18,2 ; 9,1 ; 19,1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sergipe;(milhões de m3); 101,4 ; 100,2 ; 88,5 ; 81,7 ; 64,9 ; 58,0 ; 18,4 ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sergipe;(milhões de m3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bahia;(milhões de m3); 562,1 ; 671,7 ; 614,6 ; 542,9 ; 519,9 ; 507,0 ; 430,5 ; 432,3 ; 381,5 ; 407,5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bahia;(milhões de m3); 2.534,6 ; 2.369,1 ; 2.109,6 ; 2.044,5 ; 2.033,0 ; 1.576,0 ; 1.132,5 ; 1.550,6 ; 1.407,5 ; 1.148,4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bahia;(milhões de m3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Espírito Santo;(milhões de m3); 3.191,5 ; 3.350,3 ; 3.406,5 ; 3.326,8 ; 2.946,9 ; 2.441,0 ; 2.093,6 ; 1.750,9 ; 1.057,1 ; 1.331,6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Espírito Santo;(milhões de m3); 1.558,0 ; 764,1 ; 488,2 ; 694,7 ; 515,9 ; 231,0 ; 210,2 ; 246,4 ; 186,7 ; 194,6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Espírito Santo;(milhões de m3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rio de Janeiro;(milhões de m3); 10.503,1 ; 13.379,2 ; 15.746,4 ; 18.189,6 ; 19.882,0 ; 24.549,0 ; 29.276,8 ; 31.205,8 ; 34.747,9 ; 39.503,6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rio de Janeiro;(milhões de m3); 594,2 ; 682,8 ; 866,6 ; 425,5 ; 315,7 ; 438,0 ; 289,9 ; 17,5 ; 28,6 ; 50,4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rio de Janeiro;(milhões de m3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;São Paulo;(milhões de m3); 1.291,6 ; 2.476,7 ; 3.042,0 ; 3.908,0 ; 4.166,8 ; 4.154,0 ; 4.021,8 ; 4.400,6 ; 4.124,6 ; 3.693,5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;São Paulo;(milhões de m3); 2.871,5 ; 3.061,7 ; 2.790,2 ; 2.978,3 ; 2.264,2 ; 2.540,0 ; 2.134,1 ; 1.656,6 ; 1.784,4 ; 1.440,3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;São Paulo;(milhões de m3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Paraná;(milhões de m3); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4,1 ; 9,4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Paraná;(milhões de m3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
