Região;Unidades da Federação;Unidade;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;Amazonas;(m3);;;;;;;;;; 13.345 
;Amazonas;(m3);;;;;;;;;; 702.697 
;Maranhão;(m3);;;;;;;;;; 296 
;Maranhão;(m3);;;;;;;;;; 212 
;Maranhão;(m3);;;;;;;;;; 367 
;Maranhão;(m3);;;;;;;;;; 121 
;Maranhão;(m3);;;;;;;;;; 3.231 
;Ceará;(m3);;;;;;;;;; 42.150 
;Rio Grande do Norte;(m3);;;;;;;;;; 540 
;Rio Grande do Norte;(m3);;;;;;;;;; 16.944 
;Rio Grande do Norte;(m3);;;;;;;;;; 154 
;Rio Grande do Norte;(m3);;;;;;;;;; 116.568 
;Rio Grande do Norte;(m3);;;;;;;;;; 1.279 
;Rio Grande do Norte;(m3);;;;;;;;;; 7.607 
;Rio Grande do Norte;(m3);;;;;;;;;; 447 
;Rio Grande do Norte;(m3);;;;;;;;;; 162.302 
;Rio Grande do Norte;(m3);;;;;;;;;; 434 
;Rio Grande do Norte;(m3);;;;;;;;;; 10.572 
;Rio Grande do Norte;(m3);;;;;;;;;; 963.861 
;Rio Grande do Norte;(m3);;;;;;;;;; 15.382 
;Rio Grande do Norte;(m3);;;;;;;;;; 12.580 
;Rio Grande do Norte;(m3);;;;;;;;;; 98.410 
;Rio Grande do Norte;(m3);;;;;;;;;; 41.324 
;Rio Grande do Norte;(m3);;;;;;;;;; 4.709 
;Rio Grande do Norte;(m3);;;;;;;;;; 426.023 
;Alagoas;(m3);;;;;;;;;; 131.519 
;Alagoas;(m3);;;;;;;;;; 12.987 
;Sergipe;(m3);;;;;;;;;; 377.986 
;Sergipe;(m3);;;;;;;;;; 9.848 
;Sergipe;(m3);;;;;;;;;; 1.775 
;Bahia;(m3);;;;;;;;;; 366.417 
;Bahia;(m3);;;;;;;;;; 1.359 
;Bahia;(m3);;;;;;;;;; 5.269 
;Bahia;(m3);;;;;;;;;; 815 
;Bahia;(m3);;;;;;;;;; 71.288 
;Bahia;(m3);;;;;;;;;; 73.312 
;Bahia;(m3);;;;;;;;;; 6.161 
;Bahia;(m3);;;;;;;;;; 104.625 
;Bahia;(m3);;;;;;;;;; 4.225 
;Bahia;(m3);;;;;;;;;; 99.661 
;Bahia;(m3);;;;;;;;;; 92.377 
;Bahia;(m3);;;;;;;;;; 105.261 
;Bahia;(m3);;;;;;;;;; 103 
;Bahia;(m3);;;;;;;;;; 285 
;Bahia;(m3);;;;;;;;;; 321 
;Espírito santo;(m3);;;;;;;;;; 70.529 
;Espírito santo;(m3);;;;;;;;;; 25.658 
;Espírito santo;(m3);;;;;;;;;; 293.982 
;Espírito santo;(m3);;;;;;;;;; 336.197 
;Espírito santo;(m3);;;;;;;;;; 25.614 
;Espírito santo;(m3);;;;;;;;;; 8.274 
;Espírito santo;(m3);;;;;;;;;; 8.436 
;Espírito santo;(m3);;;;;;;;;; 29.131 
;Espírito santo;(m3);;;;;;;;;; 34.840 
;Espírito santo;(m3);;;;;;;;;; 1.507.333 
;Espírito santo;(m3);;;;;;;;;; 7.512.542 
;Rio de Janeiro;(m3);;;;;;;;;; 4.121.875 
;Rio de Janeiro;(m3);;;;;;;;;; 1.588.052 
;Rio de Janeiro;(m3);;;;;;;;;; 3.012.383 
;Rio de Janeiro;(m3);;;;;;;;;; 912.707 
;Rio de Janeiro;(m3);;;;;;;;;; 2.759.096 
;Rio de Janeiro;(m3);;;;;;;;;; 1.349.501 
;Rio de Janeiro;(m3);;;;;;;;;; 3.567.337 
;Rio de Janeiro;(m3);;;;;;;;;; 4.543.776 
;Rio de Janeiro;(m3);;;;;;;;;; 880.776 
;Rio de Janeiro;(m3);;;;;;;;;; 825.219 
;Rio de Janeiro;(m3);;;;;;;;;; 5.143.440 
;Rio de Janeiro;(m3);;;;;;;;;; 796.549 
;Rio de Janeiro;(m3);;;;;;;;;; 503.043 
;Rio de Janeiro;(m3);;;;;;;;;; 6.963.527 
;Rio de Janeiro;(m3);;;;;;;;;; 3.835.136 
;Rio de Janeiro;(m3);;;;;;;;;; 8.226.000 
;Rio de Janeiro;(m3);;;;;;;;;; 433.283 
;Rio de Janeiro;(m3);;;;;;;;;; 4.593.340 
;Rio de Janeiro;(m3);;;;;;;;;; 36.350.554 
;Rio de Janeiro;(m3);;;;;;;;;; 5.375.776 
;Rio de Janeiro;(m3);;;;;;;;;; 12.087.622 
;Rio de Janeiro;(m3);;;;;;;;;; 9.554.665 
;Rio de Janeiro;(m3);;;;;;;;;; 3.109.158 
;Rio de Janeiro;(m3);;;;;;;;;; 48.288.909 
;Rio de Janeiro;(m3);;;;;;;;;; 210.392 
;São Paulo;(m3);;;;;;;;;; 1.437.341 
;São Paulo;(m3);;;;;;;;;; 142.764 
;São Paulo;(m3);;;;;;;;;; 2.677.436 
;São Paulo;(m3);;;;;;;;;; 10.148.060 
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;; -   ;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
; ;;;;;;;;;;;
