Região;Unidades da Federação;Unidade;Produto;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;Amazonas;(mil barris);Petróleo;10.222;9.601;8.561;7.482;7.462;6.814;5.777;5.328;4.900;4.504
;Amazonas;(mil barris);Petróleo;;;;;;;;;;
;Maranhão;(mil barris);Petróleo;43;4;14;13;15;20;24;30;14;27
;Maranhão;(mil barris);Petróleo;;;;;;;;;;
;Ceará;(mil barris);Petróleo;446;533;567;448;384;316;282;247;223;265
;Ceará;(mil barris);Petróleo;2.221;1.901;1.928;1.558;1.584;1.539;306; -   ; -   ; -   
;Ceará;(mil barris);Petróleo;;;;;;;;;;
;Rio Grande do Norte;(mil barris);Petróleo;18.347;18.247;18.176;15.205;12.830;12.199;11.723;11.887;11.905;11.753
;Rio Grande do Norte;(mil barris);Petróleo;2.615;2.594;2.257;2.096;1.870;1.711;970;340;88;66
;Rio Grande do Norte;(mil barris);Petróleo;;;;;;;;;;
;Alagoas;(mil barris);Petróleo;1.519;1.556;1.499;1.139;929;967;910;655;857;866
;Alagoas;(mil barris);Petróleo;115;97;55;50;43;8,313;20;19;25;42
;Alagoas;(mil barris);Petróleo;;;;;;;;;;
;Sergipe;(mil barris);Petróleo;10.133;9.171;8.187;6.572;4.853;4.087;3.756;2.822;1.281;2.389
;Sergipe;(mil barris);Petróleo;4.839;2.992;2.715;1.899;1.776;1.288;716;81;83;62
;Sergipe;(mil barris);Petróleo;;;;;;;;;;
;Bahia;(mil barris);Petróleo;15.632;14.190;12.994;11.631;10.586;10.119;9.002;8.069;7.131;5.796
;Bahia;(mil barris);Petróleo;356;240;281;206;193;144;106;122;93;62
;Bahia;(mil barris);Petróleo;;;;;;;;;;
;Espírito Santo;(mil barris);Petróleo;5.235;5.066;4.690;3.891;3.588;3.472;3.256;2.989;2.603;3.071
;Espírito Santo;(mil barris);Petróleo;128.739;136.581;139.490;133.869;118.721;101.517;87.144;73.891;47.679;58.900
;Espírito Santo;(mil barris);Petróleo;;;;;;;;;;
;Rio de Janeiro;(mil barris);Petróleo;563.232;596.924;614.713;650.854;662.818;765.869;853.803;854.662;932.431;1.063.180
;Rio de Janeiro;(mil barris);Petróleo;;;;;;;;;;
;São Paulo;(mil barris);Petróleo;59.235;89.968;102.605;120.014;116.464;107.460;98.226;99.226;93.538;90.608
;São Paulo;(mil barris);Petróleo;;;;;;;;;;
