Regiao;Unidades da Federacao;Unidade;Produto;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Regiao Norte;Rondonia;(m3);Biodiesel;10.977;4.140;1.035;7.260;16.232;15.862;6.854;3.724;18.555;65.383
Regiao Norte;Para;(m3);Biodiesel; - ; - ; - ; - ; - ; - ; - ; - ;49.577;128.818
Regiao Norte;Tocantins;(m3);Biodiesel;73.604;62.085;37.923;561;85.101;92.489;141.757;140.698;94.669;89.052
Regiao Nordeste;Piaui;(m3);Biodiesel; - ; - ; - ; - ; - ; - ;39.643;42.392;54.290;66.055
Regiao Nordeste;Ceara;(m3);Biodiesel;72.984;87.434;59.390; - ; - ; - ; - ; - ; - ; - 
Regiao Nordeste;Rio Grande do Norte;(m3);Biodiesel; - ;1.799; - ; - ; - ; - ; - ; - ; - ; - 
Regiao Nordeste;Bahia;(m3);Biodiesel;160.192;225.484;245.215;290.945;376.338;454.326;438.581;410.430;577.300;558.671
Regiao Sudeste;Minas Gerais;(m3);Biodiesel;83.283;92.258;94.798;118.136;127.946;131.112;131.888;112.201;128.093;62.203
Regiao Sudeste;Rio de Janeiro;(m3);Biodiesel;17.262;18.704;21.669;58.237;96.103;137.673;141.299;137.878;134.093;148.865
Regiao Sudeste;Sao Paulo;(m3);Biodiesel;170.345;184.473;137.791;156.246;233.653;231.090;232.933;175.198;186.014;224.512
Regiao Sul;Parana;(m3);Biodiesel;319.222;363.689;392.679;504.233;601.821;629.947;768.240;1.216.048;844.046;1.070.666
Regiao Sul;Santa Catarina;(m3);Biodiesel;68.452;34.489;89.252;121.965;122.131;130.473;139.945;101.798;283.318;378.672
Regiao Sul;Rio Grande do Sul;(m3);Biodiesel;973.647;1.114.307;1.074.759;1.135.976;1.475.080;1.636.336;1.833.267;1.864.291;1.525.929;1.698.634
Regiao Centro-Oeste;Mato Grosso do Sul;(m3);Biodiesel;217.297;207.484;178.237;265.707;324.483;343.457;308.890;279.769;189.598;299.318
Regiao Centro-Oeste;Mato Grosso;(m3);Biodiesel;611.108;845.671;818.669;914.002;1.119.552;1.234.972;1.383.384;1.321.594;1.065.366;1.553.091
Regiao Centro-Oeste;Goias;(m3);Biodiesel;643.837;695.252;649.922;716.570;758.196;865.051;878.498;964.641;1.103.862;1.183.718
