Região;Unidades da Federação;Unidade;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;;;;;;;
Região Norte;Pará ;(mil m3); 33,80 ; 29,79 ; 28,69 ; 43,53 ; 34,83 ; 44,13 ; 38,62 ; 41,62 ; 40,25 ; 38,60 ;;;;;;;;;;;
Região Norte;Tocantins;(mil m3); 118,44 ; 127,94 ; 116,53 ; 115,76 ; 69,70 ; 81,54 ; 86,18 ; 90,79 ; 93,18 ; 108,04 ;;;;;;;;;;;
Região Nordeste;Maranhão;(mil m3);165,57;144,70;111,05;142,94;122,75;142,04;159,41; 154,51 ; 130,26 ; 136,99 ;;;;;;;;;;;
Região Nordeste;Piauí;(mil m3);31,98;29,34;21,39;19,58;18,02;16,80;28,14; 26,65 ; 27,92 ; 32,84 ;;;;;;;;;;;
Região Nordeste;Rio Grande do Norte;(mil m3);45,80;64,15;41,56;26,67;21,80;18,98;31,85; 31,18 ; 29,07 ; 53,32 ;;;;;;;;;;;
Região Nordeste;Paraíba ;(mil m3);235,49;208,70;158,53;153,83;170,41;183,73;197,64; 227,03 ; 231,32 ; 265,09 ;;;;;;;;;;;
Região Nordeste;Pernambuco;(mil m3);192,82;189,00;124,11;99,95;86,60;104,45;113,64; 114,25 ; 151,16 ; 161,50 ;;;;;;;;;;;
Região Nordeste;Alagoas;(mil m3);341,37;333,05;261,92;225,92;197,14;199,60;186,60; 190,00 ; 176,57 ; 263,35 ;;;;;;;;;;;
Região Nordeste;Sergipe;(mil m3);37,31;35,12;21,33;24,37;22,85;21,65;19,99; 19,90 ; 15,42 ; 19,58 ;;;;;;;;;;;
Região Nordeste;Bahia;(mil m3);131,77;47,20;75,84;74,71;80,21;83,38;117,02; 121,01 ; 132,55 ; 144,96 ;;;;;;;;;;;
Região Sudeste;Minas Gerais ;(mil m3);1.095,22;1.104,85;1.102,03;1.002,25;829,62;1.007,08;966,94; 1.204,64 ; 1.226,86 ; 1.330,04 ;;;;;;;;;;;
Região Sudeste;Espírito Santo;(mil m3);106,69;86,94;48,20;77,38;102,81;106,69;78,31; 80,07 ; 87,73 ; 77,32 ;;;;;;;;;;;
Região Sudeste;São Paulo;(mil m3);6.433,12;6.181,31;6.550,45;6.411,15;5.119,51;5.661,14;5.006,35; 5.350,21 ; 5.556,32 ; 6.106,91 ;;;;;;;;;;;
Região Sul;Paraná;(mil m3);531,14;538,29;607,20;589,36;517,94;569,82;539,87; 563,25 ; 589,29 ; 712,12 ;;;;;;;;;;;
Região Centro-Oeste;Mato Grosso do Sul ;(mil m3);609,87;646,13;780,11;896,45;774,20;669,90;667,30; 719,26 ; 1.165,06 ; 1.260,87 ;;;;;;;;;;;
Região Centro-Oeste;Mato Grosso;(mil m3);480,66;523,51;534,83;560,62;633,70;695,03;900,76; 1.233,17 ; 1.566,48 ; 1.982,11 ;;;;;;;;;;;
Região Centro-Oeste;Goiás;(mil m3);1.152,87;1.096,00;1.077,76;1.176,02;616,37;788,45;1.097,19; 1.255,30 ; 1.086,98 ; 1.271,76 ;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
