Região;Unidades da Federação;Unidade;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;;;;;;;;;
Região Norte;Rondônia;(mil m3); 12,77 ; 12,99 ; 9,06 ; 4,90 ; 1,39 ; 4,85 ; 0,07 ; -   ; -   ; -   ;;;;;;;;;;;;;
Região Norte;Acre;(mil m3); -   ; 4,51 ; 3,67 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;
Região Norte;Amazonas;(mil m3); 2,92 ; 5,80 ; 5,50 ; 4,85 ; 5,47 ; 8,82 ; 9,01 ; 6,39 ; 5,89 ; 6,81 ;;;;;;;;;;;;;
Região Norte;Pará;(mil m3); 8,34 ; 11,14 ; 4,46 ; 8,09 ; 8,63 ; 17,11 ; 11,72 ; 13,37 ; 12,52 ; 15,53 ;;;;;;;;;;;;;
Região Norte;Tocantins;(mil m3); 62,28 ; 61,86 ; 45,45 ; 60,51 ; 85,52 ; 84,83 ; 88,32 ; 104,22 ; 116,40 ; 84,67 ;;;;;;;;;;;;;
Região Nordeste;Maranhão;(mil m3); 13,58 ; 42,28 ; 16,95 ; 19,62 ; 24,87 ; 25,71 ; 15,14 ; 9,82 ; 12,85 ; 23,70 ;;;;;;;;;;;;;
Região Nordeste;Piauí;(mil m3); 0,53 ; 3,34 ; 0,22 ; 0,82 ; 19,46 ; 29,65 ; 10,48 ; 17,49 ; 17,12 ; 14,32 ;;;;;;;;;;;;;
Região Nordeste;Ceará;(mil m3); 9,13 ; 14,60 ; 5,24 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;
Região Nordeste;Rio Grande do Norte ;(mil m3); 27,44 ; 34,11 ; 33,60 ; 39,68 ; 93,10 ; 90,66 ; 86,46 ; 70,60 ; 62,74 ; 84,96 ;;;;;;;;;;;;;
Região Nordeste;Paraíba;(mil m3); 140,21 ; 238,35 ; 201,71 ; 175,81 ; 260,64 ; 175,29 ; 197,88 ; 135,85 ; 130,54 ; 154,17 ;;;;;;;;;;;;;
Região Nordeste;Pernambuco;(mil m3); 143,23 ; 253,94 ; 223,75 ; 179,50 ; 378,91 ; 263,50 ; 281,38 ; 206,63 ; 157,58 ; 166,62 ;;;;;;;;;;;;;
Região Nordeste;Alagoas;(mil m3); 143,88 ; 221,51 ; 104,57 ; 85,96 ; 266,97 ; 303,55 ; 239,30 ; 233,61 ; 208,33 ; 248,33 ;;;;;;;;;;;;;
Região Nordeste;Sergipe ;(mil m3); 74,23 ; 134,76 ; 54,70 ; 39,37 ; 81,36 ; 80,18 ; 77,17 ; 93,10 ; 63,68 ; 71,31 ;;;;;;;;;;;;;
Região Nordeste;Bahia ;(mil m3); 108,52 ; 175,07 ; 50,23 ; 106,06 ; 165,49 ; 165,72 ; 156,52 ; 190,54 ; 202,37 ; 236,84 ;;;;;;;;;;;;;
Região Sudeste;Minas Gerais;(mil m3); 1.581,07 ; 2.098,06 ; 1.597,39 ; 1.703,15 ; 2.427,98 ; 2.572,13 ; 2.111,27 ; 1.634,64 ; 1.668,09 ; 1.974,66 ;;;;;;;;;;;;;
Região Sudeste;Espírito Santo ;(mil m3); 55,65 ; 91,80 ; 27,11 ; 13,27 ; 24,76 ; 14,27 ; 11,38 ; 12,96 ; 16,17 ; 10,87 ;;;;;;;;;;;;;
Região Sudeste;Rio de Janeiro;(mil m3); 88,49 ; 57,60 ; 94,69 ; 53,89 ; 97,26 ; 91,62 ; 137,39 ; 126,34 ; 110,17 ; 82,05 ;;;;;;;;;;;;;
Região Sudeste;São Paulo ;(mil m3); 7.438,37 ; 7.648,74 ; 7.681,96 ; 7.427,44 ; 11.083,89 ; 11.007,11 ; 9.474,92 ; 6.775,29 ; 6.354,966 ; 7.567,84 ;;;;;;;;;;;;;
Região Sul;Paraná ;(mil m3); 1.048,32 ; 924,10 ; 866,50 ; 702,01 ; 1.106,07 ; 1.094,82 ; 724,00 ; 630,37 ; 498,26 ; 519,10 ;;;;;;;;;;;;;
Região Sul;Rio Grande do Sul ;(mil m3); 4,40 ; 3,79 ; 2,91 ; 2,49 ; 2,19 ; 1,64 ; 0,09 ; 0,00 ; 0,01 ; 0,02 ;;;;;;;;;;;;;
Região Centro-Oeste;Mato Grosso do Sul ;(mil m3); 1.739,87 ; 2.066,20 ; 1.819,83 ; 1.771,62 ; 2.490,28 ; 2.637,30 ; 2.209,95 ; 1.917,45 ; 1.912,41 ; 2.546,88 ;;;;;;;;;;;;;
Região Centro-Oeste;Mato Grosso ;(mil m3); 651,38 ; 792,81 ; 676,81 ; 854,47 ; 1.123,59 ; 1.559,35 ; 2.223,11 ; 2.702,19 ; 2.743,04 ; 3.420,54 ;;;;;;;;;;;;;
Região Centro-Oeste;Goiás;(mil m3); 3.116,17 ; 3.713,35 ; 3.506,45 ; 3.698,76 ; 3.875,06 ; 4.682,28 ; 4.220,86 ; 3.724,40 ; 4.037,54 ; 4.185,61 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
